date,exercise,sets,reps,weight,notes
6/1/2025,Dumbbell Chest Press,0,0,25,"Baseline month, dumbbell-only pressing"
6/1/2025,Supported Dumbbell Row,0,0,25,Baseline pulling strength established
6/1/2025,Hammer Curl,0,0,15,Starting biceps load in June
6/1/2025,Lateral Raise,0,0,5,Light delt activation work
6/1/2025,Romanian Deadlift (Dumbbells),0,0,25,First logged hinge pattern
6/1/2025,Goblet Squat,0,0,40,Backpack-loaded squats
6/1/2025,Split Squat,0,0,30,Light split stance strength work
7/1/2025,Dumbbell Chest Press,0,0,25,Worked 25–30 lbs consistently
7/1/2025,Supported Dumbbell Row,0,0,30,Maintained consistent 30 lb row work
7/1/2025,Hammer Curl,0,0,20,Progressed from 22.5 → 30 lbs
7/1/2025,Lateral Raise,0,0,10,Delt strengthening month
7/1/2025,Romanian Deadlift (Dumbbells),0,0,30,Consistent hinge training
7/1/2025,Goblet Squat,0,0,60,Strengthened goblet squat pattern
7/1/2025,Split Squat,0,0,40,Stronger split squat performance
7/1/2025,Rear Delt Fly,0,0,10,Rear delt pump-focused work
7/1/2025,Finger Press-Up,0,0,10,High-volume forearm development
7/1/2025,Wrist Curl (Supinated),0,0,10,Forearm strength work
7/1/2025,Wrist Curl (Pronated),0,0,10,Forearm strength work
10/1/2025,Wrist Twist,0,0,10,Forearm rotation and stability
10/1/2025,Forearm Supination,0,0,10,
11/1/2025,Forearm Supination,0,0,10,Supination strength training
8/1/2025,Dumbbell Chest Press,0,0,30,Consistent moderate-load pressing
8/1/2025,Supported Dumbbell Row,0,0,30,Progressed back-volume month
8/1/2025,Romanian Deadlift (Dumbbells),0,0,35,Maintained hinge strength
8/1/2025,Hammer Curl,0,0,22.5,Consistent curl strength
8/1/2025,Overhead Press,0,0,45,Moderate load OHP sessions
9/1/2025,Deadlift (Barbell),0,0,95,First logged deadlifts — strength foundations
9/1/2025,Dumbbell Chest Press,0,0,35,Pressing maintained
9/1/2025,Supported Dumbbell Row,0,0,35,High-volume row work continued
9/1/2025,Romanian Deadlift (Dumbbells),0,0,45,Supplemental hinge work
9/1/2025,Overhead Press,0,0,65,OHP sessions consistently worked around 95 lbs
9/1/2025,Incline Bench Press,0,0,65,Incline bench failure at 155 noted
10/1/2025,Deadlift (Barbell),0,0,135,Deadlift strength progressing steadily
10/1/2025,Supported Dumbbell Row,0,0,40,Back work continued all month
10/1/2025,Romanian Deadlift (Dumbbells),0,0,65,Maintained hinge strength
10/1/2025,Overhead Press,0,0,65,OHP stayed in the 95 lb working range
10/1/2025,Incline Bench Press,0,0,95,Maintained incline benching
10/1/2025,Lat Pulldown,0,0,50,Top set of 62 lbs pulldown
10/1/2025,Wrist Curl (Supinated),0,0,10,Forearm work increased
10/1/2025,Wrist Curl (Pronated),0,0,10,Forearm development
10/1/2025,Finger Press-Up,0,0,10,High volume forearm finisher
11/1/2025,Deadlift (Barbell),0,0,205,Major PR jump month — 205 lbs
11/1/2025,Incline Bench Press,0,0,115,Top incline loads unchanged
11/1/2025,Overhead Press,0,0,115,OHP consistent
11/1/2025,Lat Pulldown,0,0,50,Pulldown repeated from October
11/1/2025,Hammer Curl,0,0,22.5,Arm training consistent
11/1/2025,Rear Delt Fly,0,0,15,Rear delt work around 10–15 lbs
12/1/2025,Lat Pulldown,0,0,62,Pulldown intensity steady
12/1/2025,Forearm Supination,0,0,12.5,Forearm pump-focused training
12/1/2025,Wrist Curl (Supinated),0,0,10,Forearm work maintained
12/1/2025,Wrist Curl (Pronated),0,0,10,Forearm work maintained
12/1/2025,Finger Press-Up,0,0,10,High pump finger stability work
12/1/2025,Romanian Deadlift (Dumbbells),0,0,115,Hinge pattern maintained
8/1/2025,Goblet Squat,0,0,70,Strengthened goblet squat pattern
9/1/2025,Goblet Squat,0,0,80,Strengthened goblet squat pattern
8/1/2025,Lateral Raise,0,0,10,Delt strengthening month
9/1/2025,Lateral Raise,0,0,12.5,Delt strengthening month
10/1/2025,Lateral Raise,0,0,12.5,Delt strengthening month
11/1/2025,Lateral Raise,0,0,12.5,Delt strengthening month
6/1/2025,Overhead Press,0,0,25,OHP consistent
7/1/2025,Overhead Press,0,0,35,OHP consistent
8/1/2025,Split Squat,0,0,45,Stronger split squat performance
9/1/2025,Split Squat,0,0,45,Stronger split squat performance
10/1/2025,Split Squat,0,0,45,Stronger split squat performance
11/1/2025,Split Squat,0,0,95,Stronger split squat performance
11/1/2025,Wrist Twist,0,0,10,Forearm rotation and stability
12/1/2025,Wrist Twist,0,0,10,Forearm rotation and stability
9/1/2025,Bench Press,0,0,95,
10/1/2025,Bench Press,0,0,115,
11/1/2025,Bench Press,0,0,135,
12/1/2025,Bench Press,0,0,155,
